,time,InstrumentID,vol_cum,val_cum,TotalAskVolume,TotalBidVolume,ap1,bp1,av1,bv1,ap2,bp2,av2,bv2,ap3,bp3,av3,bv3,ap4,bp4,av4,bv4,ap5,bp5,av5,bv5,ap6,bp6,av6,bv6,ap7,bp7,av7,bv7,ap8,bp8,av8,bv8,ap9,bp9,av9,bv9,ap10,bp10,av10,bv10,vol,val,date,index,instrument_id,mp,wp
0,09:30:00,905.0,12960.29,7081654.722,100.0,100.0,4317.174499999999,4317.174499999999,100.0,100.0,4317.174499999999,4317.174499999999,100.0,100.0,4317.174499999999,4317.174499999999,100.0,100.0,4317.174499999999,4317.174499999999,100.0,100.0,4317.174499999999,4317.174499999999,100.0,100.0,4317.174499999999,4317.174499999999,100.0,100.0,4317.174499999999,4317.174499999999,100.0,100.0,4317.174499999999,4317.174499999999,100.0,100.0,4317.174499999999,4317.174499999999,100.0,100.0,4317.174499999999,4317.174499999999,100.0,100.0,12960.29,7081654.722,20190114,4317.174499999999,i000905,4317.174499999999,4317.174499999999
1,09:30:03,905.0,12960.29,7081654.722,100.0,100.0,4317.174499999999,4317.174499999999,100.0,100.0,4317.174499999999,4317.174499999999,100.0,100.0,4317.174499999999,4317.174499999999,100.0,100.0,4317.174499999999,4317.174499999999,100.0,100.0,4317.174499999999,4317.174499999999,100.0,100.0,4317.174499999999,4317.174499999999,100.0,100.0,4317.174499999999,4317.174499999999,100.0,100.0,4317.174499999999,4317.174499999999,100.0,100.0,4317.174499999999,4317.174499999999,100.0,100.0,4317.174499999999,4317.174499999999,100.0,100.0,0.0,0.0,20190114,4317.174499999999,i000905,4317.174499999999,4317.174499999999
2,09:30:06,905.0,12960.29,7081654.722,100.0,100.0,4317.174499999999,4317.174499999999,100.0,100.0,4317.174499999999,4317.174499999999,100.0,100.0,4317.174499999999,4317.174499999999,100.0,100.0,4317.174499999999,4317.174499999999,100.0,100.0,4317.174499999999,4317.174499999999,100.0,100.0,4317.174499999999,4317.174499999999,100.0,100.0,4317.174499999999,4317.174499999999,100.0,100.0,4317.174499999999,4317.174499999999,100.0,100.0,4317.174499999999,4317.174499999999,100.0,100.0,4317.174499999999,4317.174499999999,100.0,100.0,0.0,0.0,20190114,4317.174499999999,i000905,4317.174499999999,4317.174499999999
3,09:30:09,905.0,14291.0,7847503.962000003,100.0,100.0,4315.379499999999,4315.379499999999,100.0,100.0,4315.379499999999,4315.379499999999,100.0,100.0,4315.379499999999,4315.379499999999,100.0,100.0,4315.379499999999,4315.379499999999,100.0,100.0,4315.379499999999,4315.379499999999,100.0,100.0,4315.379499999999,4315.379499999999,100.0,100.0,4315.379499999999,4315.379499999999,100.0,100.0,4315.379499999999,4315.379499999999,100.0,100.0,4315.379499999999,4315.379499999999,100.0,100.0,4315.379499999999,4315.379499999999,100.0,100.0,1330.71,765849.2400000024,20190114,4315.379499999999,i000905,4315.379499999999,4315.379499999999
4,09:30:12,905.0,14291.0,7847503.962000003,100.0,100.0,4315.379499999999,4315.379499999999,100.0,100.0,4315.379499999999,4315.379499999999,100.0,100.0,4315.379499999999,4315.379499999999,100.0,100.0,4315.379499999999,4315.379499999999,100.0,100.0,4315.379499999999,4315.379499999999,100.0,100.0,4315.379499999999,4315.379499999999,100.0,100.0,4315.379499999999,4315.379499999999,100.0,100.0,4315.379499999999,4315.379499999999,100.0,100.0,4315.379499999999,4315.379499999999,100.0,100.0,4315.379499999999,4315.379499999999,100.0,100.0,0.0,0.0,20190114,4315.379499999999,i000905,4315.379499999999,4315.379499999999
5,09:30:15,905.0,15214.02,8375833.431999999,100.0,100.0,4314.246000000001,4314.246000000001,100.0,100.0,4314.246000000001,4314.246000000001,100.0,100.0,4314.246000000001,4314.246000000001,100.0,100.0,4314.246000000001,4314.246000000001,100.0,100.0,4314.246000000001,4314.246000000001,100.0,100.0,4314.246000000001,4314.246000000001,100.0,100.0,4314.246000000001,4314.246000000001,100.0,100.0,4314.246000000001,4314.246000000001,100.0,100.0,4314.246000000001,4314.246000000001,100.0,100.0,4314.246000000001,4314.246000000001,100.0,100.0,923.02,528329.4699999965,20190114,4314.246000000001,i000905,4314.246000000001,4314.246000000001
6,09:30:18,905.0,15863.73,8751115.887000002,100.0,100.0,4314.080000000002,4314.080000000002,100.0,100.0,4314.080000000002,4314.080000000002,100.0,100.0,4314.080000000002,4314.080000000002,100.0,100.0,4314.080000000002,4314.080000000002,100.0,100.0,4314.080000000002,4314.080000000002,100.0,100.0,4314.080000000002,4314.080000000002,100.0,100.0,4314.080000000002,4314.080000000002,100.0,100.0,4314.080000000002,4314.080000000002,100.0,100.0,4314.080000000002,4314.080000000002,100.0,100.0,4314.080000000002,4314.080000000002,100.0,100.0,649.71,375282.45500000357,20190114,4314.080000000002,i000905,4314.080000000002,4314.080000000002
7,09:30:21,905.0,15863.73,8751115.887000002,100.0,100.0,4314.080000000002,4314.080000000002,100.0,100.0,4314.080000000002,4314.080000000002,100.0,100.0,4314.080000000002,4314.080000000002,100.0,100.0,4314.080000000002,4314.080000000002,100.0,100.0,4314.080000000002,4314.080000000002,100.0,100.0,4314.080000000002,4314.080000000002,100.0,100.0,4314.080000000002,4314.080000000002,100.0,100.0,4314.080000000002,4314.080000000002,100.0,100.0,4314.080000000002,4314.080000000002,100.0,100.0,4314.080000000002,4314.080000000002,100.0,100.0,0.0,0.0,20190114,4314.080000000002,i000905,4314.080000000002,4314.080000000002
8,09:30:24,905.0,16757.19,9164362.478000004,100.0,100.0,4314.0247,4314.0247,100.0,100.0,4314.0247,4314.0247,100.0,100.0,4314.0247,4314.0247,100.0,100.0,4314.0247,4314.0247,100.0,100.0,4314.0247,4314.0247,100.0,100.0,4314.0247,4314.0247,100.0,100.0,4314.0247,4314.0247,100.0,100.0,4314.0247,4314.0247,100.0,100.0,4314.0247,4314.0247,100.0,100.0,4314.0247,4314.0247,100.0,100.0,893.46,413246.5910000014,20190114,4314.0247,i000905,4314.0247,4314.0247
9,09:30:27,905.0,16757.19,9164362.478000004,100.0,100.0,4314.0247,4314.0247,100.0,100.0,4314.0247,4314.0247,100.0,100.0,4314.0247,4314.0247,100.0,100.0,4314.0247,4314.0247,100.0,100.0,4314.0247,4314.0247,100.0,100.0,4314.0247,4314.0247,100.0,100.0,4314.0247,4314.0247,100.0,100.0,4314.0247,4314.0247,100.0,100.0,4314.0247,4314.0247,100.0,100.0,4314.0247,4314.0247,100.0,100.0,0.0,0.0,20190114,4314.0247,i000905,4314.0247,4314.0247
